Academy of En	ET 88C,FRIA C T 	ET 88C	FRIA C T 					3
Art	AHIS 1,MOUSAVI A	AHIS 1	MOUSAVI A	23	12	4	1	50
Art	AHIS 1,MACK R T	AHIS 1	MACK R T	10	11	9		42
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	33	10	2		57
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	33	9	2		53
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	27	8	3	1	47
Art	AHIS 1,MOUSAVI A	AHIS 1	MOUSAVI A	19	8	5		48
Art	AHIS 2,DONAHUE N J	AHIS 2	DONAHUE N J	60	16	13	1	121
Art	AHIS 2,DONAHUE N J	AHIS 2	DONAHUE N J	86	18	5		131
Art	AHIS 2,ROWE S H	AHIS 2	ROWE S H	16	4	3		30
Art	AHIS 2,ROWE S H	AHIS 2	ROWE S H	12	6	2	1	30
Art	AHIS 3,DONAHUE N J	AHIS 3	DONAHUE N J	37	7	4		58
Art	AHIS 3,MEYER W J	AHIS 3	MEYER W J	44	17	5		118
Art	AHIS 5,POHL J M	AHIS 5	POHL J M	30	2	1		40
Art	AHIS 6,LEAPER L E	AHIS 6	LEAPER L E	6	9	2		41
Art	AHIS 6,ROSENBLUM B T	AHIS 6	ROSENBLUM B T	7	7	2		37
Art	AHIS 11,MEYER W J	AHIS 11	MEYER W J	24	7	3		40
Art	AHIS 11,MEYER W J	AHIS 11	MEYER W J	22	6	2	2	44
Art	AHIS 11,THAYER J	AHIS 11	THAYER J	22	5	2		40
Art	AHIS 17,MING L Y	AHIS 17	MING L Y	17	10	4		43
Art	AHIS 17,O'LEARY T F	AHIS 17	O'LEARY T F	9	8	4		37
Art	AHIS 18,BETTELHEIM J	AHIS 18	BETTELHEIM J	9	12	2		53
Art	AHIS 72,STUART C A	AHIS 72	STUART C A	13	2	5		40
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	19	13	4		45
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	16	8	3	1	40
Art	AHIS 72,SCHAPA E J	AHIS 72	SCHAPA E J	41				44
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	16	10	2		41
