Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Art	AHIS 1,MACK R T	AHIS 1	MACK R T	19	22	16	1	87
Art	AHIS 1,MACK R T	AHIS 1	MACK R T	16	32	17		86
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	35	8	6		58
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	35	9	3	1	53
Art	AHIS 1,MOUSAVI A	AHIS 1	MOUSAVI A	16	9	7		42
Art	AHIS 2,J KELLEY M E	AHIS 2	J KELLEY M E	14	5	3		31
Art	AHIS 2,J KELLEY M E	AHIS 2	J KELLEY M E	25	7	4		44
Art	AHIS 2,ROWE S H	AHIS 2	ROWE S H	12	7			30
Art	AHIS 2,ROWE S H	AHIS 2	ROWE S H	12	6			29
Art	AHIS 3,MEYER W J	AHIS 3	MEYER W J	66	29	6	1	135
Art	AHIS 3,MING L Y	AHIS 3	MING L Y	12	8	5		42
Art	AHIS 3,MEYER W J	AHIS 3	MEYER W J	43	2			51
Art	AHIS 5,POHL J M	AHIS 5	POHL J M	23	2	1		41
Art	AHIS 6,LEAPER L E	AHIS 6	LEAPER L E	5	7	9		37
Art	AHIS 11,THAYER J	AHIS 11	THAYER J	9	6	4		28
Art	AHIS 11,THAYER J	AHIS 11	THAYER J	17	4	1		34
Art	AHIS 11,MEYER W J	AHIS 11	MEYER W J	54	12	6	1	107
Art	AHIS 17,O'LEARY T F	AHIS 17	O'LEARY T F	13	8	4		34
Art	AHIS 18,BROWN WE	AHIS 18	BROWN WE	8	6	13		40
Art	AHIS 18,BROWN WE	AHIS 18	BROWN WE	8	9	5	1	36
Art	AHIS 72,DASTIN E R	AHIS 72	DASTIN E R	12	13	7		42
Art	AHIS 72,STUART C A	AHIS 72	STUART C A	9	5	5		39
Art	AHIS 72,STUART C A	AHIS 72	STUART C A	8	9	9		99
Art	AHIS 72,BROWN WE	AHIS 72	BROWN WE	12	11	8		44
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	15	10	2	4	39
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	15	12	3	2	41
Art	AHIS 72,FOLLAND T F	AHIS 72	FOLLAND T F	12	10	2		35
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	18	10	4	1	47
Art	ART 10A,BURCHMAN J H	ART 10A	BURCHMAN J H	16	4	2		29
Art	ART 10A,ARUTIAN C L	ART 10A	ARUTIAN C L	3	6	5		22
Art	ART 10A,MIYANO E	ART 10A	MIYANO E	14	5	3		28
Art	ART 10A,MITCHELL R	ART 10A	MITCHELL R	14	9			26
Art	ART 10A,SCHMELTZ L A 	ART 10A	SCHMELTZ L A 	5	4	2	5	21
Art	ART 10A,COOPER B E	ART 10A	COOPER B E	6	5	2		21
Art	ART 10A,KARLSEN A M	ART 10A	KARLSEN A M	7	9	4		28
Art	ART 10A,BURCHMAN J H	ART 10A	BURCHMAN J H	12	5	2		30
Art	ART 10A,ZARCONE J	ART 10A	ZARCONE J	1	2	5	1	19
Art	ART 10A,VICICH G M	ART 10A	VICICH G M	17	10			31
Art	ART 10A,MOSS AV	ART 10A	MOSS AV	4	9	3		21
