Santa Monica College - Grade Distribution Fall 2013,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,AHIS,AHIS,1,1054,MOUSAVI A,25,2,2,1,5,,,,,12,47,
,,,,1055,MACK R T,18,21,15,13,11,,,,,9,87,
,,,,1056,MEYER W J,49,9,,1,4,,,,,3,66,
,,,,1057,MEYER W J,37,8,1,2,1,,,,1,7,57,
,,,,4012,TRIANDOS T I,9,11,1,,2,,,,,12,35,
,,AHIS,2,1058,ROWE S H,28,21,15,6,18,,,,,27,115,
,,,,1059,MEYER W J,43,8,1,,2,,,,,3,57,
,,,,1060,MEYER W J,45,6,,,1,,,,,2,54,
,,,,4013,LEAPER L E,6,9,8,6,5,,3,,,8,45,
,,AHIS,3,1061,MING L Y,6,12,7,5,6,,,,,5,41,
,,,,1062,MEYER W J,55,16,9,4,14,,,,,23,121,
,,,,1063,MEYER W J,28,7,3,1,2,,,,,4,45,
,,AHIS,11,1064,JAMES N M,9,4,4,5,2,,,,1,5,30,
,,,,1065,WOOD E,23,26,18,4,3,,,,,7,81,
,,,,1066,WOOD E,13,9,9,1,7,,,,,7,46,
,,,,1067,THAYER J,17,8,2,,,,2,,1,5,35,
,,AHIS,17,1068,O'LEARY T F,15,11,9,,2,,,,,3,40,
,,AHIS,18,1069,BROWN WE,3,13,6,5,5,,,,,8,40,
,,,,1070,BROWN WE,8,10,8,1,1,,,,,10,38,
,,AHIS,72,1073,STUART C A,3,8,6,3,7,,,,1,6,34,
,,,,1074,FOLLAND T F,12,10,4,1,10,,,,,12,49,
,,,,1075,SCHAPA E J,72,42,19,8,9,,,,1,5,156,
,,,,1076,MIHAYLOVICH K W,23,5,3,2,3,,,,,8,44,
,,,,1077,MIHAYLOVICH K W,14,11,2,1,1,,,,,5,34,
,,,,1078,FOLLAND T F,6,3,4,1,5,,,,,6,25,
,,,,4014,ROWE S H,10,9,3,1,8,,,,1,8,40,
,,,,4015,STUART C A,6,6,1,,8,,,,,8,29,
,ART,ART,10A,1118,BURCHMAN J H,11,5,3,,1,,,,,8,28,
,,,,1119,HARRIS-FUENTES R,14,4,4,1,2,,,,,1,26,
,,,,1120,MIYANO E,12,9,7,,1,,,,,2,31,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 1 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,10A,1121,MITCHELL R,15,9,2,,,,,,,4,30,
,,,,1122,ARUTIAN C L,7,6,3,,2,,,,,8,26,
,,,,1123,ARGOTE C A,5,5,2,1,2,,,,,5,20,
,,,,1124,KARLSEN A M,12,10,,,4,,,,,3,29,
,,,,1125,BURCHMAN J H,17,5,3,,1,,,,,3,29,
,,,,1126,ZARCONE J,5,3,6,5,3,,,,,11,33,
,,,,1127,VICICH G M,14,12,1,,,,,,,4,31,
,,,,1128,KARLSEN A M,10,10,3,2,3,,,,,2,30,
,,,,1129,MOSS AV,9,10,6,1,4,,,,,,30,
,,,,1130,SCHMELTZ L A,6,7,8,1,1,,,,,2,25,
,,,,4026,SHIBATA J M,15,3,1,,1,,,,,5,25,
,,,,4027,MITCHELL R,15,3,1,,,,1,,,2,22,
