Santa Monica College - Grade Distribution Fall 2014,,,,,,,,,,,,,,,,,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Academy of En,ET,ET,88C,3457,FRIA C T,,,,,,,,3,,,3,
Art,AHIS,AHIS,1,1056,MOUSAVI A,23,12,4,4,,,,1,6,,50,
,,,,1057,MACK R T,10,11,9,5,2,,,,5,,42,
,,,,1058,MEYER W J,33,10,2,1,3,,,,8,,57,
,,,,1059,MEYER W J,33,9,2,5,,,,,4,,53,
,,,,1060,MEYER W J,27,8,3,4,,,,1,4,,47,
,,,,4010,MOUSAVI A,19,8,5,6,,,1,,9,,48,
,,AHIS,2,1061,DONAHUE N J,60,16,13,14,,,,1,17,,121,
,,,,1062,DONAHUE N J,86,18,5,8,,,,,14,,131,
,,,,1063,ROWE S H,16,4,3,1,1,,,,5,,30,
,,,,1064,ROWE S H,12,6,2,3,,,,1,6,,30,
,,AHIS,3,1065,DONAHUE N J,37,7,4,2,,1,,,7,,58,
,,,,1066,MEYER W J,44,17,5,3,15,,1,,33,,118,
,,AHIS,5,1067,POHL J M,30,2,1,3,,,,,4,,40,
,,AHIS,6,1068,LEAPER L E,6,9,2,2,12,2,,,8,,41,
,,,,4011,ROSENBLUM B T,7,7,2,3,10,,,,8,,37,
,,AHIS,11,1069,MEYER W J,24,7,3,1,3,,,,2,,40,
,,,,1070,MEYER W J,22,6,2,9,,,,2,3,,44,
,,,,1071,THAYER J,22,5,2,7,,,,,4,,40,
,,AHIS,17,1072,MING L Y,17,10,4,1,4,,,,7,,43,
,,,,1073,O'LEARY T F,9,8,4,1,6,,,,9,,37,
,,AHIS,18,1074,BETTELHEIM J,9,12,2,8,16,,,,6,,53,
,,AHIS,72,1078,STUART C A,13,2,5,3,5,,,,12,,40,
,,,,1079,MIHAYLOVICH K W,19,13,4,5,2,,,,2,,45,
,,,,1080,MIHAYLOVICH K W,16,8,3,2,2,,,1,8,,40,
,,,,1081,SCHAPA E J,41,,,1,,,,,2,,44,
,,,,4012,MIHAYLOVICH K W,16,10,2,3,4,,1,,5,,41,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 1 of 97,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,AHIS,AHIS,72,4013,STUART C A,7,3,6,1,12,,2,,6,,37,
,ART,ART,10A,1118,BURCHMAN J H,10,6,4,1,1,,,,6,,28,
,,,,1119,SCHMELTZ L A,3,1,3,2,3,,,,7,,19,
,,,,1120,MIYANO E,10,7,1,,3,,,,6,,27,
,,,,1121,MITCHELL R,14,8,3,,,1,,,1,,27,
,,,,1122,ARUTIAN C L,9,4,3,3,4,,,,3,,26,
,,,,1123,HARRIS-FUENTES R,10,4,1,,,,,,3,,18,
,,,,1124,KARLSEN A M,10,4,1,3,4,,,,7,,29,
,,,,1125,BURCHMAN J H,17,4,1,,1,,,,4,,27,
,,,,1126,ZARCONE J,2,4,3,2,4,,,,7,,22,
,,,,1127,VICICH G M,16,9,,,,,,,5,,30,
,,,,1128,KARLSEN A M,8,3,4,1,2,,,,5,,23,
,,,,1129,ARGOTE C A,8,7,3,3,4,,,,3,,28,
,,,,1130,HARRIS-FUENTES R,13,5,,,3,,,,4,,25,
,,,,3443,WINSRYG M W,8,3,1,1,,,,,1,,14,
,,,,4027,SHIBATA J M,17,1,,,4,,,,2,,24,
,,,,4028,MITCHELL R,12,3,1,1,,2,,,2,,21,
,,,,4029,ARGOTE C A,11,6,1,1,2,,,,4,,25,
,,ART,10B,1131,WINSRYG M W,9,5,1,2,,,,,3,,20,
,,,,1132,DAVIS R L,23,7,,,2,,,,1,,33,
,,,,4030,MIYANO E,10,12,1,,1,,,,1,,25,
,,ART,10C,1133,OBIAMIWE O D,14,2,5,,1,,,,2,,24,
,,,,1134,OBIAMIWE O D,15,2,1,,,,,,4,,22,
,,,,4031,LUNDQUIST T,7,2,1,1,,,,,4,,15,
,,ART,13,1135,HARTMAN D G,14,6,,,1,,,,3,,24,
,,,,1136,HARTMAN D G,20,2,2,,,,,,3,,27,
,,,,4032,SILVER E M,10,3,2,,3,,,,1,,19,
,,ART,17A,1137,JOLLER G,14,1,1,,2,,,1,4,,23,
,,ART,20A,1138,HATTON C,6,10,5,,3,,,,5,,29,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 2 of 97,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,ART,ART,20A,1139,VICICH G M,11,10,,2,,,,,6,,29,
,,,,1140,HATTON C,14,9,4,1,1,,,,3,,32,
,,,,1141,MINCKLEY J L,8,3,3,,,,,,11,,25,
,,,,1142,HATTON C,14,7,7,1,,,,,2,,31,
,,,,1143,KOMPANEYETS M,9,2,3,1,,,,,8,,23,
,,,,1144,KAGAN SHARON,7,7,4,3,,,,,4,,25,
,,,,1145,KAGAN SHARON,7,6,3,2,2,,,1,6,,27,
,,,,1146,WHEAT N R,7,5,4,2,4,,,,6,,28,
,,,,1147,MORRISON E C,4,8,7,2,,,,,4,,25,
,,,,1148,MAMMARELLA C J,8,7,2,6,,,,,8,,31,
,,,,3442,ZARCONE J,5,2,1,4,4,,1,,3,,20,
,,,,4033,RICHARDSON DOOL L,4,8,5,4,2,,,,4,,27,
,,,,4034,OCONNELL J L,6,11,1,4,,,,,8,,30,
,,,,4035,HARRISON A B,5,6,3,2,,,,,3,,19,
,,ART,20B,1149,KOMPANEYETS M,12,5,1,2,,,1,,4,,25,
,,,,1150,SYNICKY C M,4,2,2,5,,,,,4,,17,
,,,,1151,KARLSEN A M,10,2,5,1,1,,,,6,,25,
,,,,1152,KARLSEN A M,10,2,2,2,2,,,1,7,,26,
,,,,1153,HATTON C,16,4,2,,,,,,6,,28,
,,,,4036,MAMMARELLA C J,5,7,4,1,,,,,9,,26,
,,ART,20C,1154,WINSRYG M W,10,1,3,,,,,,4,,18,
,,ART,21A,1155,TRUJILLO M E,14,6,5,,,,,,2,,27,
,,,,4037,TRUJILLO M E,18,3,,1,,,,,5,,27,
,,ART,21B,1156,TRUJILLO M E,15,3,2,,,,,,5,,25,
,,ART,30A,1157,SHIBATA J M,11,5,3,2,,,,1,9,,31,
,,ART,30C,1158,OTA N T,9,4,3,3,,,,,5,,24,
,,,,4038,OTA N T,9,5,1,1,,,,,12,,28,
,,ART,31,1159,LOPEZ L G,5,4,2,4,,1,,3,5,,24,
,,,,1160,TRUJILLO M E,13,2,1,5,,1,,,4,,26,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 3 of 97,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,ART,ART,31,1161,DAVIS R L,21,,,2,,,,,1,,24,
,,,,4039,LOPEZ L G,7,2,,4,,2,,,3,,18,
,,ART,32,1162,DAVIS R L,9,,,1,,,,,2,,12,
,,,,4041,LOPEZ L G,3,3,,1,,,,,3,,10,
,,ART,34A,1164,LOPEZ L G,10,1,4,2,2,1,,1,3,,24,
,,,,4042,LOPEZ L G,8,3,1,3,,,,2,9,,26,
,,ART,40A,1165,HARTMAN D G,15,5,1,2,,,,,,,23,
,,,,1166,HARTMAN D G,15,3,1,2,,,,,2,,23,
,,,,4044,BROMBERG T L,9,3,2,,,,,,2,,16,
,,ART,40B,1167,HARTMAN D G,12,2,1,,,,,,2,,17,
,,,,4045,BROMBERG T L,5,,1,,,,,,1,,7,
,,ART,40C,1168,HARTMAN D G,12,,,1,,,,,,,13,
,,ART,41A,1169,SIMON D L,8,6,,1,,2,,,6,,23,
,,ART,43A,1170,BROMBERG T L,6,4,3,,,,,1,,,14,
,,ART,43B,1171,BROMBERG T L,4,1,1,,,,,1,,,7,
,,ART,52A,1172,PHILLIPS F,16,7,1,,,,,,2,,26,
,,,,1173,PHILLIPS F,20,4,2,,,,,,,,26,
,,,,1174,PHILLIPS F,17,2,1,,,,,,4,,24,
,,ART,52B,1175,PHILLIPS F,10,4,,,,,,,2,,16,
,,ART,52C,1176,PHILLIPS F,9,1,1,1,,,,,2,,14,
,,ART,60,1177,THOMASON M M,18,5,1,1,,,,,,,25,
,,,,4046,SCHMELTZ L A,11,2,2,,,,,,5,,20,
,,ART,90A,1179,MEYER W J,1,,,,,,,,,,1,
,,ART,90B,3463,MEYER W J,1,,,,,,,,,,1,
,ARTS,ARTS,88A,1180,DAVIS R L,5,1,,,,,,,,,6,
,,ARTS,88B,1181,DAVIS R L,1,,,,,,,,,,1,
,DESIGN,DESIGN 87O,,1760,HATTON C,19,1,,1,,,,,1,,22,
Athletics,VAR PE,VAR PE,9V,3340,JENKINS J M,22,5,,,,,,,4,,31,
,,VAR PE,9W,3341,STRONG L M,13,,,,,,,,1,,14,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 4 of 97,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Athletics,VAR PE,VAR PE 14V,,3342,BARRON E A,16,,1,,,,,,3,,20,
,,VAR PE 14W,,3343,BARRON E A,10,,,,,,,,1,,11,
,,VAR PE 21V,,3344,LINDHEIM G M,89,6,2,,,,,,2,,99,
,,VAR PE 43V,,3345,PIERCE T L,29,,,,,,,,1,,30,
,,VAR PE 43W,,3346,PEHANICH J,30,,,,,,,,1,,31,
,,VAR PE 50V,,3347,ESKRIDGE B M,14,,,,,,,,1,,15,
,,VAR PE 50W,,3348,BULLOCK J A,10,,,,,,,,2,,12,
,,VAR PE 57W,,3349,RYAN N A,9,,,,,,,,1,,10,
,,VAR PE 60,,3350,MAYER J L,13,,,,,,,,2,,15,
,,,,3351,SILVA L,19,2,1,2,,,,,14,,38,
,,,,3352,GARCIA S M,10,1,,,,,,,1,,12,
,,,,3353,MURRAY Z M,4,4,2,,,9,,,,,19,
,,,,3354,SOTO D P,9,,,,,,,,2,,11,
,,,,3355,MURRAY Z M,10,2,2,,,5,,,1,,20,
,,,,3449,SILVA L,1,,,,,,,,,,1,
,,,,4499,MOOREHEAD J R,10,,,,,,,,,,10,
Business,ACCTG,ACCTG,1,1001,SCHAPA E J,33,4,4,1,,,,,3,,45,
,,,,1003,RESNICK W J,18,5,5,8,4,,,,9,,49,
,,,,1004,BROOKINS G T,5,5,4,5,6,,,,15,,40,
,,,,1005,MAIER L S,19,7,4,2,5,,,,6,,43,
,,,,1006,SCHAPA E J,23,8,2,4,3,,,,3,,43,
,,,,1007,TRIPPETTI V J,17,9,5,4,,1,,,14,,50,
,,,,1008,TRIPPETTI V J,18,10,7,1,6,,,,10,,52,
,,,,1009,NAULT W H,10,7,3,3,11,,,2,13,,49,
,,,,1010,FITZGERALD R L,7,5,3,4,,,,,16,,35,
,,,,1011,HALLIDAY P D,14,6,5,4,3,,,,9,,41,
,,,,1012,HALLIDAY P D,5,9,7,3,4,,,,9,,37,
,,,,1013,RESNICK W J,30,11,1,2,2,,,,4,,50,
,,,,1014,RESNICK W J,16,10,1,2,,,,,10,,39,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 5 of 97,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
