Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,AHIS,AHIS,1,1061,MOUSAVI A,28,20,12,9,,,,1,11,,81,
,,,,1062,MOUSAVI A,24,7,19,1,8,,,1,18,,78,
,,,,1063,MACK R T,12,10,7,1,1,,,,6,,37,
,,,,1064,HESSER M,12,6,4,5,,,,,11,,38,
,,,,3516,HESSER M,9,8,4,3,,,,,16,,40,
,,,,4009,MACK R T,18,20,26,13,11,,,2,14,,104,
,,,,1060,CRAIG M H,9,15,5,3,11,,,1,38,,82,
,,AHIS,2,1067,ROWE S H,18,5,1,2,5,,,,2,,33,
,,,,4010,MEDVEDEV N,28,17,1,14,,,,1,20,,81,
,,,,1068,MAJSTOROVIC M,19,8,,3,,,,,2,,32,
,,,,1066,MAJSTOROVIC M,82,7,3,12,,,,1,10,,115,
,,,,1065,DONAHUE N J,77,19,5,1,18,,,1,15,,136,
,,,,3531,HESSER M,9,5,5,2,6,,,,12,,39,
,,AHIS,3,1069,DONAHUE N J,77,27,13,9,,,,1,6,,133,
,,,,1070,CHANDLER M M,18,16,11,13,31,,,,24,,113,
,,,,1071,MIHAYLOVICH K W,12,9,7,2,,,,,7,,37,
,,AHIS,5,1072,ROSENBLUM B T,16,28,15,14,,,,1,8,,82,
,,AHIS,6,1073,LEAPER L E,3,8,2,1,6,,,,13,,33,
,,,,1074,ROSENBLUM B T,14,9,7,1,1,,,,6,,38,
,,AHIS,11,1075,JAMES N M,32,16,18,7,13,,1,,22,,109,
,,,,3530,THAYER J,18,7,2,1,1,,,,5,,34,
,,,,1076,THAYER J,21,8,2,4,,,,,4,,39,
,,,,1077,THAYER J,27,2,1,2,,,,,3,,35,
,,,,,,,,,,,,,,Page 1 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,AHIS,AHIS,17,1078,LEE O,23,15,11,6,,,,1,15,,71,
,,,,1079,O'LEARY T F,12,3,4,2,10,,,,9,,40,
,,AHIS,18,4011,CRAIG M H,13,5,1,5,,,,,11,,35,
,,AHIS,72,1085,MIHAYLOVICH K W,11,15,5,2,5,,,,5,,43,
,,,,4012,STUART C A,5,3,1,7,,1,,1,4,,22,
,,,,1086,SCHRADER E,27,5,2,2,,2,,,2,,40,
,,,,1084,STUART C A,4,7,2,1,4,,,,8,,26,
,,,,1083,DASTIN E R,25,19,6,4,5,,1,,2,,62,
,,,,1082,CHANDLER M M,7,10,5,1,9,,,,8,,40,
,,,,3617,FOLLAND T F,4,3,2,1,13,,,,8,,31,
,ART,ART,10A,1131,KARLSEN A M,14,7,1,1,3,,,,1,,27,
,,,,4522,SCHMELTZ L A,2,3,6,2,3,,,,14,,30,
,,,,4027,WHEAT N R,7,1,4,2,5,,,,4,,23,
,,,,4026,MITCHELL R,11,6,2,,,,,,7,,26,
,,,,4025,SHIBATA J M,13,10,,,,,,,3,,26,
,,,,1133,ARGOTE C A,10,4,4,,,,,1,9,,28,
,,,,1132,ARUTIAN C L,6,2,6,3,2,,,,6,,25,
,,,,1129,SYNICKY C M,7,2,2,1,4,,,,8,,24,
,,,,1128,BADGER C P,24,1,1,4,,,,,2,,32,
,,,,1127,KARLSEN A M,15,6,3,1,1,,,,10,,36,
,,,,1126,MITCHELL R,17,6,2,2,,,,,6,,33,
,,,,1125,MIYANO E,12,8,2,1,2,,,,5,,30,
,,,,1123,BURCHMAN J H,10,7,,1,,,,,9,,27,
,,,,1130,BADGER C P,21,2,3,5,,,,,1,,32,
,,,,1124,HARRISON A B,10,2,2,2,4,,,,8,,28,
,,,,,,,,,,,,,,Page 2 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,ART,ART,10B,1134,BADGER C P,8,8,5,2,1,,,,1,,25,
,,,,1135,WINSRYG M W,9,7,2,1,,,,,3,,22,
,,,,1136,DAVIS R L,27,4,,,,,,,,,31,
,,,,4028,MIYANO E,11,6,3,,1,,,,4,,25,
,,ART,10C,1137,BADGER C P,14,3,,,1,,,,5,,23,
,,,,4030,LUNDQUIST T,8,9,,,,,,,,,17,
,,,,1138,OBIAMIWE O D,21,2,,,,,,,1,,24,
,,,,4029,OBIAMIWE O D,11,1,,,,,1,,3,,16,
,,ART,13,1139,HARTMAN D G,24,3,,,,,,,1,,28,
,,,,1140,HARTMAN D G,22,5,,,1,,,,,,28,
,,,,4031,SILVER E M,13,2,,1,1,,,,1,,18,
,,ART,17A,1141,JOLLER G,15,2,,2,2,,,,3,,24,
,,ART,20A,1149,KAGAN SHARON,7,4,3,1,3,,,,8,,26,
,,,,1153,MAMMARELLA C J,7,4,4,2,1,1,,,4,,23,
,,,,4034,HARRISON A B,8,3,1,3,5,,,,5,,25,
,,,,4032,RICHARDSON DOOL L J,13,1,,,6,,,,5,,25,
,,,,1152,ZARCONE J,5,,5,1,3,,,,4,,18,
,,,,1151,ZARCONE J,3,7,4,2,5,,,,6,,27,
,,,,1150,BURCHMAN J H,13,6,1,,,,,,7,,27,
,,,,1147,HATTON C,14,7,1,1,1,,,,8,,32,
,,,,1146,THOMASON M M,8,5,3,1,,,,,7,,24,
,,,,1145,OTA N T,5,9,5,,2,,2,,4,,27,
,,,,1142,HATTON C,19,7,1,,2,,,,2,,31,
,,,,1144,HATTON C,12,9,1,,2,,,,6,,30,
,,,,,,,,,,,,,,Page 3 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,ART,ART,20A,1148,VICICH G M,17,7,2,1,,,,,1,,28,
,,,,1143,VICICH G M,11,4,2,,,,,,8,,25,
,,,,4033,OCONNELL J L,2,5,4,4,,,,,7,,22,
,,ART,20B,1155,KARLSEN A M,6,4,2,1,4,,,,4,,21,
,,,,4035,MAMMARELLA C J,8,4,2,1,,,,,6,,21,
,,,,1156,KARLSEN A M,6,4,3,,,,,,4,,17,
,,,,1154,KOMPANEYETS M,11,7,1,2,,,,,5,,26,
,,,,1157,HATTON C,17,4,,,,,,1,2,,24,
,,ART,20C,1158,WINSRYG M W,9,5,1,1,,,,1,5,,22,
,,ART,21A,1159,TRUJILLO M E,20,2,2,1,,,,,2,,27,
,,,,4036,KOMPANEYETS M,10,7,2,1,,,,,3,,23,
,,ART,21B,1160,TRUJILLO M E,8,4,1,1,,,,,3,,17,
,,ART,30A,1161,SHIBATA J M,13,7,1,1,,,,,3,,25,
,,ART,30C,4037,OTA N T,16,4,1,1,,,,1,3,,26,
,,ART,31,4038,LOPEZ L G,9,1,2,,,,,,4,,16,
,,,,1164,DAVIS R L,17,2,,,,,,,3,,22,
,,,,1163,TRUJILLO M E,16,5,1,3,,,,,1,,26,
,,,,1162,LOPEZ L G,2,1,2,4,,2,,,5,,16,
,,ART,32,1165,DAVIS R L,8,1,,,,,,,,,9,
,,,,4039,LOPEZ L G,8,1,1,,,,2,,2,,14,
,,ART,33,1166,TRUJILLO M E,10,5,,1,,,,,5,,21,
,,ART,34A,1167,LOPEZ L G,12,3,4,4,,,,,5,,28,
,,,,4040,KAGAN SHARON,9,2,,1,,,1,,15,,28,
,,ART,34B,4041,LOPEZ L G,8,,5,,,,,,3,,16,
,,ART,40A,1168,HARTMAN D G,19,1,,,,,,,2,,22,
,,,,,,,,,,,,,,Page 4 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,ART,ART,40A,1169,HARTMAN D G,16,1,1,1,,,,,1,,20,
,,,,4042,BROMBERG T L,13,3,1,,,,,,,,17,
,,ART,40B,1170,HARTMAN D G,7,2,1,,,,,,2,,12,
,,,,4043,BROMBERG T L,3,,,,,,,,,,3,
,,ART,40C,1171,HARTMAN D G,8,,1,,,,,,,,9,
,,ART,41A,1172,SIMON D L,9,2,,1,,,,2,8,,22,
,,ART,43A,1173,BROMBERG T L,9,7,1,,,,,,6,,23,
,,ART,43B,1174,BROMBERG T L,3,,,,,,,,,,3,
,,ART,52A,1177,PHILLIPS F,15,6,3,,,,,1,,,25,
,,,,1176,PHILLIPS F,12,6,3,2,,,,,1,,24,
,,,,1175,PHILLIPS F,15,4,2,1,,,1,,,,23,
,,ART,52B,1178,PHILLIPS F,14,5,1,,,,,,1,,21,
,,ART,52C,1179,PHILLIPS F,6,2,,,,,,,,,8,
,,ART,60,1180,THOMASON M M,16,3,2,1,,,,,1,,23,
,,ART,60B,1181,WINSRYG M W,7,1,1,1,,,,2,2,,14,
,,ART,90A,1182,DAVIS R L,5,,,,,,,,,,5,
,ARTS,ARTS,88A,1185,DAVIS R L,5,,,,,,,,,,5,
,,ARTS,88B,1186,DAVIS R L,1,,,,,,,,,,1,
,DESIGN,DESIGN 87O,,1787,HATTON C,14,2,,1,,,,,1,,18,
Athletics,VAR PE,VAR PE,9V,3430,JENKINS J M,20,,2,,,,,,3,,25,
,,VAR PE,9W,3431,STRONG L M,16,,,,,,,,2,,18,
,,VAR PE 14V,,3432,BARRON E A,14,,,,,,,,,,14,
,,VAR PE 14W,,3433,BARRON E A,6,,,,,,,,2,,8,
,,VAR PE 21V,,3434,LINDHEIM G M,87,12,4,2,,,,,19,,124,
,,VAR PE 43V,,3435,PIERCE T L,21,,,,,,,,2,,23,
,,,,,,,,,,,,,,Page 5 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Athletics,VAR PE,VAR PE 43W,,3436,BENDITSON A,27,,,,,,,,,,27,
,,VAR PE 50V,,3437,ESKRIDGE B M,13,,,,,,,,,,13,
,,VAR PE 50W,,3438,BULLOCK J A,3,4,1,,,,,,,,8,
,,VAR PE 57W,,3439,RYAN N A,12,,,,,,,,,,12,
,,VAR PE 60,,3441,SILVA L,,,,,,,,,1,,1,
,,,,3442,SILVA L,20,8,4,1,,,,,4,,37,
,,,,3443,GARCIA S M,10,1,1,,,,,,1,,13,
,,,,3444,HANK M E,8,1,,1,,,,,2,,12,
,,,,3446,LENNON G T,5,1,,,,,,,3,,9,
,,,,3447,HANK M E,,,1,,,,,,1,,2,
,,,,3440,METICHECCHIA J H,1,,,,,,,,2,,3,
Business,ACCTG,ACCTG,1,4002,NAULT W H,11,10,3,4,,,,,10,,38,
,,,,1014,RESNICK W J,22,10,2,,,,,,9,,43,
,,,,1015,RESNICK W J,20,8,4,1,,,,,6,,39,
,,,,1016,PLATZ W A,6,11,8,1,3,,,,9,,38,
,,,,1017,FITZGERALD R L,4,6,4,3,5,,,,11,,33,
,,,,1018,KIM J S,8,10,5,1,5,,,,12,,41,
,,,,1019,ANDRE J M,6,6,7,2,,,,,17,,38,
,,,,3568,KNIGHT R B,11,3,5,3,6,,,,13,,41,
,,,,4526,RUBIO C,2,9,1,1,3,,2,,32,,50,
,,,,1013,HALLIDAY P D,6,6,9,3,4,,,,9,,37,
,,,,4001,HICKS L E,16,6,8,2,7,,,,6,,45,
,,,,1004,RESNICK W J,11,8,6,3,7,,,,13,,48,
,,,,1012,HALLIDAY P D,12,8,8,3,2,,,,10,,43,
,,,,1001,SCHRADER E,20,9,3,1,5,,,,1,,39,
,,,,,,,,,,,,,,Page 6 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,ACCTG,ACCTG,1,1005,MARES S,6,10,3,3,12,,,,5,,39,
,,,,1006,MAIER L S,20,9,6,2,4,,,,3,,44,
,,,,1007,SCHRADER E,26,7,4,1,2,,,,2,,42,
,,,,1008,KNIGHT R B,14,9,7,4,3,,,,11,,48,
,,,,1009,TRIPPETTI V J,10,12,9,2,5,,,,7,,45,
,,,,1010,NAULT W H,5,5,5,4,12,,,,15,,46,
,,,,1011,DEMETRE N J,12,7,9,3,3,,,,13,,47,
,,,,1003,PLATZ W A,4,7,6,6,9,,,,11,,43,
,,ACCTG,2,1027,ARAKELIAN A,22,7,,,2,,,,6,,37,
,,,,1028,DANIEL C,1,3,5,2,2,,,,8,,21,
,,,,4004,DILIBERTI D M,9,7,5,2,6,,,,1,,30,
,,,,4003,TRIPPETTI V J,7,15,10,1,2,,,,8,,43,
,,,,1032,KIM J S,13,10,5,,1,,,1,8,,38,
,,,,1031,HAIG J,4,4,1,4,1,,,,6,,20,
,,,,1030,HANSON M P,18,10,4,,,,,,15,,47,
,,,,1020,LIM WIN Y,9,7,4,,,,,,6,,26,
,,,,1026,ARAKELIAN A,29,3,4,1,4,,,,3,,44,
,,,,1025,ANDRE J M,13,9,3,2,1,,,,5,,33,
,,,,1024,RUBIO C,6,13,6,2,,,,,6,,33,
,,,,1023,MOORE E K,21,13,6,1,1,,,,2,,44,
,,,,1022,LU M,23,14,3,1,3,,,,3,,47,
,,,,1021,BERNSTEIN T D,22,9,9,2,,,,,5,,47,
,,,,1029,DANIEL C,1,2,,2,4,,,,8,,17,
,,ACCTG,6,1033,HUANG AI M,6,13,3,3,2,,,,4,,31,
,,ACCTG,7,1034,HUANG AI M,5,7,6,1,,,1,,5,,25,
,,,,,,,,,,,,,,Page 7 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,ACCTG,ACCTG,9,1035,BERNSTEIN T D,12,21,6,,,,,1,3,,43,
,,,,1036,BERNSTEIN T D,14,19,3,,,,,,1,,37,
,,ACCTG,10A,1038,LU M,10,4,2,1,1,,,,4,,22,
,,,,1039,LU M,6,6,1,1,,,,,2,,16,
,,,,1037,LU M,12,7,2,2,,,,1,4,,28,
,,ACCTG,10B,1040,LU M,10,8,3,1,,,,,3,,25,
,,,,1041,LU M,5,4,3,,,,,,6,,18,
,,,,4496,CARBALLO P S,,4,3,1,11,,1,,7,,27,
,,ACCTG,10C,1043,CARBALLO P S,3,4,7,2,1,,,,1,,18,
,,,,4005,HAIG J,,2,1,3,,,,,14,,20,
,,ACCTG,11,1044,CARBALLO P S,12,8,4,2,,,,,4,,30,
,,ACCTG,12,1046,HANSON M P,9,11,4,,,,,,6,,30,
,,,,1045,RESNICK W J,17,7,1,,,,,,2,,27,
,,ACCTG,15,1047,RUBIO C,4,13,6,2,3,,,,2,,30,
,,,,4523,RUBIO C,2,5,2,,,,,,1,,10,
,,ACCTG,16,1048,RUBIO C,5,12,6,1,,,,1,9,,34,
,,ACCTG,21,3514,BARNEY S D,3,3,1,1,,,,1,,,9,
,,,,4008,SCHRADER E,18,3,2,1,3,,,,6,,33,
,,ACCTG,26,1049,NASSER D M,2,,2,,,,,,,,4,
,,,,1050,HALLIDAY-ROBERT CA,8,14,2,1,,,,2,2,,29,
,,,,,E,,,,,,,,,,,,
,,ACCTG,31A,1051,VALDIVIA O,16,7,5,1,,,,1,1,,31,
,,ACCTG,31B,1052,VALDIVIA O,12,7,1,1,,,,1,7,,29,
,,ACCTG,45,1056,EVERETT K M,9,3,4,2,1,,,,2,,21,
,,,,1057,RESNICK W J,12,4,3,2,,,,1,2,,24,
,,,,,,,,,,,,,,Page 8 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,1,1265,SHISHIDO K M,14,13,3,5,,,,,10,,45,
,,,,1272,SHISHIDO K M,13,8,2,2,,,1,,14,,40,
,,,,1271,MANDELBAUM A B,17,4,1,2,16,,,,3,,43,
,,,,1270,VEAS S,43,3,2,,,,,,1,,49,
,,,,1269,RODRIGUEZ K P,6,3,5,3,6,,,,11,,34,
,,,,1268,KELLY MARCELLA A,17,6,5,1,1,,,,7,,37,
,,,,1260,KELLY MARCELLA A,17,11,12,2,4,,,,2,,48,
,,,,1267,MANDELBAUM A B,9,3,5,4,14,,1,,5,,41,
,,,,4062,ROPER-CONLEY C,9,17,7,3,2,3,,,7,,48,
,,,,1266,VEAS S,48,1,1,,,,,,1,,51,
,,,,4061,OLIVERI J S,9,8,4,1,7,,,,10,,39,
,,,,1255,ROPER-CONLEY C,7,14,10,5,10,10,,,8,,64,
