Santa Monica College - Grade Distribution Spring 2012,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Art,AHIS,AHIS,1,1052,SEMERE M G,8,37,57,8,16,,,1,10,137,
,,,,1053,SEMERE M G,6,36,74,8,10,,,1,14,149,
,,,,1054,MEYER W J,29,10,1,3,8,,1,2,1,55,
,,,,1055,MEYER W J,11,24,5,,4,,,,5,49,
,,,,4007,LYALL V I,10,14,3,5,5,3,,,4,44,
,,AHIS,2,1056,MIHAYLOVICH K W,17,13,4,4,3,,,1,10,52,
,,,,1057,SEMERE M G,31,26,44,10,7,,,,12,130,
,,,,1058,ROWE S H,15,6,1,1,5,,,,7,35,
,,,,1059,MEYER W J,39,5,1,1,4,,1,1,6,58,
,,,,1060,MEYER W J,43,4,,,4,,,,5,56,
,,AHIS,3,1061,MEYER W J,41,22,9,5,20,,1,7,19,124,
,,,,1062,MING L Y,11,8,6,1,9,,,,5,40,
,,AHIS,11,1063,WOOD E,22,26,14,4,24,,,1,15,106,
,,,,4008,JAMES N M,8,6,2,1,3,,,,9,29,
,,,,4009,WOOD E,19,13,9,1,5,,,1,4,52,
,,AHIS,17,1064,O'LEARY T F,7,4,4,1,8,,,,11,35,
,,,,1065,O'LEARY T F,5,4,7,3,10,,,,7,36,
,,AHIS,18,1066,BROWN WE,6,17,5,1,,1,,1,10,41,
,,AHIS,72,1069,FOLLAND T F,15,10,13,1,7,,,,4,50,
,,,,1070,BROWN WE,16,12,5,2,2,,,,5,42,
,,,,1071,FOLLAND T F,11,9,13,,8,,,,9,50,
,,,,1072,MIHAYLOVICH K W,27,13,1,,,,,,5,46,
,,,,1073,MIHAYLOVICH K W,22,10,1,2,3,,,,3,41,
,,,,1074,SCHAPA E J,27,1,2,,,,,,10,40,
,,,,4010,ROWE S H,10,11,5,1,9,,,1,3,40,
,ART,ART,10A,1117,BURCHMAN J H,13,10,2,1,,,,,5,31,
,,,,1118,ARUTIAN C L,6,3,4,2,9,,,,2,26,
,,,,1119,MIYANO E,10,12,3,,1,,,,3,29,
,,,,1120,MITCHELL R,18,6,3,,,1,,,2,30,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 1 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Art,ART,ART,10A,1121,KIYOSE Y,8,5,2,,2,,,,10,27,
,,,,1122,KARLSEN A M,11,5,2,,9,,,,2,29,
,,,,1123,BURCHMAN J H,12,8,4,2,,,,,4,30,
,,,,1124,MAMMARELLA C J,4,8,3,,2,2,,,10,29,
,,,,1125,VICICH G M,12,13,,,3,,,,2,30,
,,,,1126,KARLSEN A M,13,7,3,,,,,,4,27,
,,,,4018,SILVER E M,18,3,1,1,,,,,3,26,
,,,,4019,MITCHELL R,14,8,1,,2,,,,3,28,
,,ART,10B,1127,WINSRYG M W,13,10,,1,2,,,,,26,
,,,,1128,DAVIS R L,16,8,1,,1,,,,5,31,
,,,,4020,MIYANO E,15,3,1,,1,,,,3,23,
,,ART,10C,1129,LUNDQUIST T,5,19,1,,,,,,6,31,
,,,,1130,OBIAMIWE O D,17,2,,,1,,,,1,21,
,,,,1131,OBIAMIWE O D,18,1,1,1,,,,,4,25,
,,ART,13,1132,SILVER E M,11,4,,,1,,,,7,23,
,,,,1133,HARTMAN D G,23,6,,,,,,,1,30,
,,,,1134,HARTMAN D G,22,5,,,,,,,3,30,
,,,,4021,BROMBERG T L,10,4,3,,,,,,3,20,
,,ART,17A,1135,RIGGS T M,4,8,1,,,,,,5,18,
,,ART,20A,1136,HATTON C,9,9,5,2,5,,,,2,32,
,,,,1137,VICICH G M,20,5,1,,1,,,,4,31,
,,,,1138,HATTON C,12,10,5,1,4,,,,2,34,
,,,,1139,RIGGS T M,7,4,5,4,2,,,,5,27,
,,,,1140,HATTON C,6,9,10,,4,,,1,4,34,
,,,,1141,KAGAN SHARON,10,6,4,2,3,,,,7,32,
,,,,1142,MAMMARELLA C J,4,12,7,2,1,,,,4,30,
,,,,1143,RICHARDSON DOOL L J,6,9,4,2,4,,,,5,30,
,,,,1144,ZARCONE J,10,2,2,,7,,,,9,30,
,,,,1145,GRECO J,8,12,2,,,,,,8,30,
,,,,4022,SHIBATA J M,19,5,,,,,,,3,27,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 2 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Art,ART,ART,20A,4023,OCONNELL J L,3,8,9,,2,,,,12,34,
,,ART,20B,1146,KARLSEN A M,14,6,2,2,1,,,,4,29,
,,,,1147,KARLSEN A M,10,5,2,3,1,4,,,4,29,
,,,,1148,HATTON C,18,10,4,,1,,,,5,38,
,,,,4024,KOMPANEYETS M,16,2,3,,3,,,1,9,34,
,,ART,20C,1149,WINSRYG M W,7,3,2,1,2,,,,6,21,
,,ART,21A,1150,KOMPANEYETS M,20,7,5,,1,,,,1,34,
,,,,1151,TRUJILLO M E,19,4,3,,1,,,,2,29,
,,,,4025,OCONNELL J L,5,12,13,,,,,1,5,36,
,,ART,21B,1152,TRUJILLO M E,12,6,2,2,1,,,1,1,25,
,,ART,30A,1153,SHIBATA J M,13,5,3,,1,,,,5,27,
,,ART,30C,1154,OTA N T,8,4,1,2,1,7,,,3,26,
,,,,4026,OTA N T,13,8,2,,2,,,,4,29,
,,ART,31,1155,TRUJILLO M E,14,8,1,,3,,,,2,28,
,,,,1156,LOPEZ L G,10,5,3,3,1,,,,8,30,
,,,,1157,DAVIS R L,12,4,1,,,,,,1,18,
,,,,4027,ZARCONE J,5,4,3,,,,,,3,15,
,,ART,32,1158,DAVIS R L,12,3,,,,,,1,,16,
,,,,4028,LOPEZ L G,2,2,2,1,5,,1,3,6,22,
,,,,4029,ZARCONE J,8,2,,,,,,,1,11,
,,ART,33,1159,TRUJILLO M E,12,6,3,,3,1,,,1,26,
,,ART,34A,1160,LOPEZ L G,14,2,3,3,2,,1,1,6,32,
,,,,4030,KAGAN SHARON,10,3,1,3,1,,,1,7,26,
,,ART,34B,4031,LOPEZ L G,9,3,1,6,5,,1,2,3,30,
,,ART,40A,1161,HARTMAN D G,24,4,2,,,,,,1,31,
,,,,1162,HARTMAN D G,20,4,1,,,,,,2,27,
,,,,4032,BROMBERG T L,4,5,,,,,,,1,10,
,,ART,40B,1163,HARTMAN D G,13,,,,,,,,,13,
,,,,4033,BROMBERG T L,3,4,1,,1,,,,1,10,
,,ART,40C,1164,HARTMAN D G,4,1,,,,,,1,1,7,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 3 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
