Santa Monica College - Grade Distribution Spring 2014,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Acad of Enter,ET,ET,88C,3378,FRIA C T,,,,,,,,1,,1,
Art,AHIS,AHIS,1,1054,MACK R T,19,22,16,9,8,,,1,12,87,
,,,,1055,MACK R T,16,32,17,3,6,,,,12,86,
,,,,1056,MEYER W J,35,8,6,2,2,,,,5,58,
,,,,1057,MEYER W J,35,9,3,,3,,,1,2,53,
,,,,4006,MOUSAVI A,16,9,7,,2,,,,8,42,
,,AHIS,2,1058,J KELLEY M E,14,5,3,1,2,,,,6,31,
,,,,1059,J KELLEY M E,25,7,4,1,2,,,,5,44,
,,,,1060,ROWE S H,12,7,,1,5,,,,5,30,
,,,,1061,ROWE S H,12,6,,1,4,,1,,5,29,
,,AHIS,3,1062,MEYER W J,66,29,6,1,12,,,1,20,135,
,,,,1063,MING L Y,12,8,5,,6,,,,11,42,
,,,,1064,MEYER W J,43,2,,1,,,,,5,51,
,,AHIS,5,1065,POHL J M,23,2,1,,,13,,,2,41,
,,AHIS,6,4007,LEAPER L E,5,7,9,,6,,,,10,37,
,,AHIS,11,1066,THAYER J,9,6,4,1,2,,,,6,28,
,,,,1067,THAYER J,17,4,1,1,3,,,,8,34,
,,,,4008,MEYER W J,54,12,6,2,11,,1,1,20,107,
,,AHIS,17,1068,O'LEARY T F,13,8,4,2,2,,,,5,34,
,,AHIS,18,1069,BROWN WE,8,6,13,3,2,1,,,7,40,
,,,,1070,BROWN WE,8,9,5,1,2,,,1,10,36,
,,AHIS,72,1073,DASTIN E R,12,13,7,2,5,,,,3,42,
,,,,1074,STUART C A,9,5,5,1,5,,,,14,39,
,,,,1075,STUART C A,8,9,9,6,19,,1,,47,99,
,,,,1076,BROWN WE,12,11,8,4,2,,,,7,44,
,,,,1077,MIHAYLOVICH K W,15,10,2,,,,,4,8,39,
,,,,1078,MIHAYLOVICH K W,15,12,3,2,,,,2,7,41,
,,,,1079,FOLLAND T F,12,10,2,2,4,,,,5,35,
,,,,3369,MIHAYLOVICH K W,18,10,4,,1,,,1,13,47,
,ART,ART,10A,1120,BURCHMAN J H,16,4,2,1,,,,,6,29,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 1 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,10A,1121,ARUTIAN C L,3,6,5,2,3,,,,3,22,
,,,,1122,MIYANO E,14,5,3,,,,,,6,28,
,,,,1123,MITCHELL R,14,9,,,1,,,,2,26,
,,,,1124,SCHMELTZ L A,,5,4,2,5,,,,5,21,
,,,,1125,COOPER B E,6,5,2,,2,,,,6,21,
,,,,1126,KARLSEN A M,7,9,4,2,2,,,,4,28,
,,,,1127,BURCHMAN J H,12,5,2,3,1,,,,7,30,
,,,,1128,ZARCONE J,1,2,5,,5,,,1,5,19,
