Santa Monica College - Grade Distribution Spring 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,AHIS,AHIS,1,1057,MACK R T,15,23,20,4,8,,,,10,,80,
,,,,1058,MEYER W J,30,6,1,2,3,,,2,5,,49,
,,,,1059,MEYER W J,28,16,1,1,1,,,,4,,51,
,,,,1060,MACK R T,35,20,8,1,5,1,,,5,,75,
,,,,1061,MEYER W J,31,5,,,1,,,,3,,40,
,,,,3356,HESSER M,5,8,9,11,,,,,6,,39,
,,,,4008,MOUSAVI A,29,23,16,5,11,,,,16,,100,
,,AHIS,2,1062,DONAHUE N J,78,19,7,,9,,,,8,,121,
,,,,1063,LEAPER L E,5,8,8,,9,,,,12,,42,
,,,,1064,DONAHUE N J,97,24,1,10,,,,,9,,141,
,,,,1065,ROWE S H,6,9,5,3,6,,,,4,,33,
,,,,1066,ROWE S H,13,7,3,,4,,,,5,,32,
,,AHIS,3,1067,MEYER W J,40,29,11,2,18,,,7,21,,128,
,,,,1068,DONAHUE N J,59,7,1,,2,,,,3,,72,
,,,,1069,MIHAYLOVICH K W,10,13,3,1,1,,,,6,,34,
,,AHIS,5,1070,ROSENBLUM B T,10,13,6,2,7,,,,15,,53,
,,AHIS,6,4009,ROSENBLUM B T,11,12,4,4,4,,,,8,,43,
,,AHIS,11,1071,MEYER W J,21,5,1,3,5,,,,5,,40,
,,,,1072,MEYER W J,15,4,,2,5,,,,4,,30,
,,,,1073,THAYER J,15,7,4,1,3,,,,3,,33,
,,,,3355,THAYER J,12,2,,1,12,,,,2,,29,
,,AHIS,17,1074,MING L Y,22,10,6,,7,,,,11,,56,
,,,,1075,O'LEARY T F,5,7,7,,5,,,1,10,,35,
,,,,3349,O'LEARY T F,12,5,,2,9,,,,6,,34,
,,AHIS,18,1076,BETTELHEIM J,4,4,9,3,12,,,,8,,40,
,,AHIS,72,1079,DASTIN E R,15,13,6,1,5,,,,3,,43,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 1 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,AHIS,AHIS,72,1080,STUART C A,5,13,7,6,13,,,2,17,,63,
,,,,1081,MIHAYLOVICH K W,13,18,6,2,1,,,,4,,44,
,,,,1082,MIHAYLOVICH K W,12,10,3,2,3,,,,5,,35,
,,,,1083,SCHRADER E,35,1,1,,1,,,,1,,39,
,,,,4010,MAJSTOROVIC M,25,1,1,,2,,,,8,,37,
,ART,ART,10A,1124,BURCHMAN J H,7,3,2,,1,,,,9,,22,
,,,,1125,HARRIS-FUENTES R,7,4,2,,6,,,,6,,25,
,,,,1126,MIYANO E,14,7,2,,1,,,,6,,30,
,,,,1127,MITCHELL R,14,9,,,,,,,2,,25,
,,,,1128,ARGOTE C A,9,3,5,1,2,,,,8,,28,
,,,,1129,SCHMELTZ L A,3,,1,1,2,,,,13,,20,
,,,,1130,SYNICKY C M,5,7,,,2,,,,4,,18,
,,,,1131,KARLSEN A M,15,8,1,2,2,,,,3,,31,
,,,,1132,BURCHMAN J H,12,8,1,,,,,,6,,27,
,,,,1133,ZARCONE J,4,,3,2,3,,,,9,,21,
,,,,1134,VICICH G M,24,1,,,1,,,,7,,33,
,,,,1135,ARUTIAN C L,2,7,3,1,1,,,,8,,22,
,,,,1136,KARLSEN A M,9,3,,1,5,,,,4,,22,
,,,,4020,SHIBATA J M,11,3,3,,1,,,,1,,19,
,,,,4021,MITCHELL R,13,4,,,,1,,,2,,20,
,,,,4513,HARRIS-FUENTES R,8,3,4,,7,,,,5,,27,
,,ART,10B,1137,WINSRYG M W,11,4,1,,3,,,,5,,24,
,,,,1138,DAVIS R L,25,4,1,,,,,,1,,31,
,,,,4022,MIYANO E,14,8,1,1,2,,,1,2,,29,
,,ART,10C,1139,OBIAMIWE O D,12,9,,2,1,,,,1,,25,
