,Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P W Grand Total,Year,Semester
0,CSIS,CS,CS61,41,19 ROGLER H L,9.0,2.0,2.0,1.0,4.0,,,,7 25,2014,Spring
1,,,CS73,16,52 HURLEY D P 1,2.0,6.0,3.0,1.0,1.0,,,,4 27,2014,Spring
2,,,CS75,16,53 MORGAN D B 1,0.0,2.0,1.0,,,,,,2 15,2014,Spring
3,,,CS80,16,54 GEDDES JR J K 2,0.0,4.0,,,8.0,,,,32,2014,Spring
4,,,,16,55 GEDDES JR J K 2,2.0,2.0,,,4.0,,,,4 32,2014,Spring
5,,,,16,56 GEDDES JR J K 2,3.0,1.0,2.0,1.0,8.0,,,,1 2 38,2014,Spring
6,,,CS81,16,57 GEDDES JR J K 2,7.0,2.0,2.0,2.0,2.0,,,,3 38,2014,Spring
7,,,CS85,16,58 GEDDES JR J K 2,1.0,5.0,2.0,,3.0,,,,7 38,2014,Spring
8,,,CS87,A 16,59 DARWICHE J 1,6.0,2.0,5.0,1.0,1.0,,,,13 38,2014,Spring
9,,,CS88,A 16,60 BOLANDHEMAT F,4.0,,,,1.0,,,,5,2014,Spring
10,,,CS88,C 16,62 BOLANDHEMAT F,1.0,,,,,,,,1,2014,Spring
11,,OFTECH,OFTECH,1 29,06 LEIVA C Y,8.0,5.0,4.0,1.0,4.0,,,,2 24,2014,Spring
12,,,OFTECH,1A 29,07 GROSS D M 1,0.0,1.0,3.0,1.0,,,,,2 17,2014,Spring
13,,,,29,08 GROSS D M 1,5.0,1.0,2.0,,2.0,,1.0,,1 22,2014,Spring
14,,,,29,09 GROSS D M,7.0,5.0,1.0,,3.0,,,,16,2014,Spring
15,,,,43,93 LEIVA C Y 1,2.0,1.0,,,3.0,,,,7 23,2014,Spring
16,,,OFTECH,1B 29,10 GROSS D M,2.0,,,,,,,,2 4,2014,Spring
17,,,,29,11 GROSS D M,2.0,,,,,,,,2 4,2014,Spring
18,,,,29,12 GROSS D M,6.0,1.0,,,,,,,1 8,2014,Spring
19,,,,43,94 LEIVA C Y,1.0,2.0,,,,,,,1 4,2014,Spring
20,,,OFTECH,1C 29,13 GROSS D M,3.0,1.0,,,1.0,,,,1 6,2014,Spring
21,,,,29,14 GROSS D M,3.0,1.0,,,,,,,4,2014,Spring
22,,,,29,15 GROSS D M,,1.0,,,,,,,1,2014,Spring
23,,,,43,95 LEIVA C Y,,,,,,,,,2 2,2014,Spring
24,,,OFTECH,5 29,16 MANTABE P,8.0,10.0,3.0,3.0,2.0,,,,2 28,2014,Spring
25,,,OFTECH,9 29,17 GROSS D M,3.0,1.0,,,,,,,4,2014,Spring
26,,,,29,18 GROSS D M,3.0,,,,,,,,3,2014,Spring
27,,,,29,19 GROSS D M,1.0,,,,,,,,1,2014,Spring
28,,,,43,96 LEIVA C Y,2.0,,,,,,,,2 4,2014,Spring
29,,,OFTECH,10 29,20 SAMBRANO R,5.0,5.0,,1.0,3.0,,,,11 25,2014,Spring
30,,,OFTECH,20 29,21 MANTABE P 1,1.0,4.0,3.0,,,,,,6 24,2014,Spring
31,,,OFTECH,21 29,22 LEIVA C Y 1,0.0,1.0,1.0,2.0,1.0,,,,5 20,2014,Spring
32,"Wednesday, Octob","er 01, 2014",,,,,,,,,,,,Page 22 of 85,2014,Spring
